claim_id,exact_claim,scientific_question,comparison,independent_actor_seeds,states_per_seed,trials,raw_artifact,generation_code,checkpoint_identity,result,evidence_tier,limitation,destination,status
C32,"The matched FastSACN8 and SACn8 critics do not have worse local action-direction statistics than the one-step critics. Pooled direction agreement rises from 73.1% to 74.8% and 76.2%, harmful-step frequency falls from 27.8% to 26.6% and 24.6%, and twin-gradient agreement rises from 71.4% to 78.5% and 81.9%.",Does the multi-step ordinary-actor deficit arise because its critic supplies worse local action gradients?,"Five one-step, five FastSACN8, and five SACn8 actors, each paired with its own frozen critic, evaluated on the same locked 512-state off-grid sample; only the first action is perturbed before returning control to the same actor",15,512,7680,reports/plan2307_pure_target_architecture_20260723/p0_p1_p2_action_gradient_alignment/critic_action_gradient_rows.csv; reports/plan2307_pure_target_architecture_20260723/p0_p1_p2_action_gradient_alignment/summary.json; reports/plan2307_pure_target_architecture_20260723/p0_p1_p2_action_gradient_alignment/critic_action_gradient_alignment.png,scripts/diagnose_critic_action_gradient_alignment_20260723.py; configs/plan2307_p0_p1_p2_action_gradient_diagnostic_20260724.json,"All fifteen actor and critic checkpoint hashes, the locked dataset hash, and selected-index hash are recorded in the summary","one-step, FastSACN8, and SACn8 pooled gradient sign agreement 0.7309, 0.7484, and 0.7621; harmful step 0.2777, 0.2664, and 0.2461; twin-gradient sign agreement 0.7141, 0.7852, and 0.8188; actor saturation 0.6711, 0.8680, and 0.8676; diagnostic-sample ordinary-actor near-reference 0.9219, 0.7633, and 0.7840; mean discounted critic-step gain -0.00151, -0.00320, and -0.00286",B,"The finite first-action perturbation measures a local policy-evaluation direction after training. The near-reference comparison is a locked diagnostic sample rather than the final selection result. Better direction frequency can coexist with worse error magnitude or nonlocal sequence behavior, and the intervention does not identify a causal optimizer update.",annex; promote if final multi-step reliability is worse,completed matched five-seed frozen-policy intervention across three target families; off-grid diagnostic only
C33,"On locked diagnostic failures, 98.5% of FastSACN8 actions and 98.9% of SACn8 actions are within 0.05 of the torque boundary. Their critics point farther outward in 94.6% and 95.1% of those boundary cases, so a nominal 0.05 critic-directed step moves only 0.00356 and 0.00347 torque on average.",Why do favorable local critic-direction frequencies fail to yield an effective correction for the multi-step actors?,"Post hoc decomposition of the same five-seed, 512-state-per-seed frozen intervention used by C32; action projection, critic direction, and realized step size are split by near-reference outcome",15,512,7680,reports/plan2307_mechanistic_20260723/action_projection_bottleneck/action_projection_by_seed.csv; reports/plan2307_mechanistic_20260723/action_projection_bottleneck/action_projection_pooled.csv; reports/plan2307_mechanistic_20260723/action_projection_bottleneck/summary.json; reports/plan2307_mechanistic_20260723/action_projection_bottleneck/action_projection_bottleneck.png,scripts/diagnose_plan2307_action_projection_bottleneck_20260724.py,"The C32 input rows hash, source-summary hash, locked-dataset hash, selected-index hash, nominal step, and action-bound threshold are recorded in the summary","failure boundary rate one-step 0.9150, FastSACN8 0.9851, SACn8 0.9892; outward among boundary failures 0.8197, 0.9464, 0.9506; mean effective step 0.01408, 0.003564, 0.003468; corresponding success-state effective steps 0.02187, 0.01609, 0.01444",B,"This diagnostic is conditioned on post-training outcomes. Saturated actions are often correct in Pendulum, and the intervention changes only the first action even though the larger failure tail is sequential. It explains a projection bottleneck for local correction but does not establish that saturation caused the policy failure.",annex; main only if final target ranking and space permit,"completed deterministic decomposition of C32; no new rollout, authority-grid access, or inference-time reference"
C34,"At the first actor-reference action disagreement on failure rollouts, one reference action improves the frozen actor's continuation in 73.5% to 79.4% of cases. The critic ranks that action above the actor in 75.0% of one-step failures, 51.0% of FastSACN8 failures, and 68.7% of SACn8 failures. Among helpful reference actions, recognition is 86.4%, 54.5%, and 80.4%. One-step and SACn8 each exceed FastSACN8 in all five paired seeds, and the ordering is stable at action-gap thresholds 0.5 and 1.0.",Does each critic recognize a locally helpful corrective action at the first state where its actor meaningfully disagrees with the selected reference?,"Five one-step, five FastSACN8, and five SACn8 actor-critic pairs on the same locked 512 initial states. Each actor is rolled until its action differs by more than 0.25 from the initial-state-selected DP or controller reference. The reference action is substituted once, then control returns to the same frozen actor. The complete intervention is repeated at gap thresholds 0.5 and 1.0.",15,512,7658,reports/plan2307_mechanistic_20260723/divergence_state_critic/divergence_state_critic_rows.csv; reports/plan2307_mechanistic_20260723/divergence_state_critic/summary.json; reports/plan2307_mechanistic_20260723/divergence_state_critic/divergence_state_critic.png; reports/plan2307_mechanistic_20260723/divergence_state_critic_gap0p5/summary.json; reports/plan2307_mechanistic_20260723/divergence_state_critic_gap1p0/summary.json,scripts/diagnose_plan2307_divergence_state_critic_20260724.py; configs/plan2307_p0_p1_p2_action_gradient_diagnostic_20260724.json,"All fifteen actor and critic checkpoint hashes, the full locked-dataset hash, selected-index hash, action-gap threshold, reference selection rule, DP solution hash, and protocol path are recorded in every summary","at gap 0.25: failure rows one-step 200, FastSACN8 606, SACn8 553; median first disagreement steps 7, 9, 9; reference one-step beneficial rates 0.7350, 0.7937, 0.7649; critic preference for reference 0.7500, 0.5099, 0.6872; critic preference among helpful reference actions 0.8639, 0.5447, 0.8038; one-step minus FastSACN8 helpful-recognition paired sign positive in 5/5 seeds; SACn8 minus FastSACN8 positive in 5/5 seeds; local gradient points toward reference 0.6500, 0.4571, 0.4991; mean discounted one-step gains 3.952, 2.963, 4.233; helpful-action recognition across gaps 0.25, 0.5, and 1.0 spans 0.8311 to 0.8639 one-step, 0.5354 to 0.5447 FastSACN8, and 0.7814 to 0.8038 SACn8",B,The reference is used only after completed frozen-policy rollouts are classified and never changes inference or method selection. Conditioning on the first disagreement and final outcome is descriptive. One reference action probes a local decision inside a longer sequence and does not identify the training update that produced the error. Five paired signs provide limited inferential power.,annex; candidate for compressed main mechanism if final target ranking agrees,completed five-seed frozen-policy intervention across three target families with two threshold sensitivity checks; locked off-grid states only
C35,"Across all 5,553 locked off-grid states, the first actor-reference action disagreement on failure rollouts occurs at median step 4 for pure one-step actors and step 15 for RL-plus-supervised actors. The median action gap at that state is 3.94 versus 1.38 torque, while their critics recognize a helpful reference action at nearly identical pooled rates, 70.3% and 70.4%.",Does RL plus supervision close the reliability gap by changing the actor trajectory or by giving its shared deployment critic a better local corrective ranking?,"Five pure one-step actors with their own critics and five RL-plus-supervised actors with the shared reward-only FastSACN8 deployment critic, evaluated on every locked off-grid state. At the first action gap above 0.25, one selected-reference action is substituted and control returns to the same frozen actor.",10,5553,54419,reports/plan2307_mechanistic_20260723/divergence_state_critic_pure_mixed_full/divergence_state_critic_rows.csv; reports/plan2307_mechanistic_20260723/divergence_state_critic_pure_mixed_full/summary.json; reports/plan2307_mechanistic_20260723/divergence_state_critic_pure_mixed_full/divergence_state_critic.png,scripts/diagnose_plan2307_divergence_state_critic_20260724.py; configs/plan2307_pure_mixed_divergence_state_critic_20260724.json,"All ten actor identities, five pure critic identities, the shared critic identity, full locked-dataset hash, selected-index hash, action-gap threshold, reference rule, DP solution hash, and protocol path are recorded in the summary",pure versus mixed ordinary-actor near-reference 0.91864 versus 0.99798; failure rows 2259 versus 56; median first action-gap step 4 versus 15; median action gap 3.9429 versus 1.3841 torque; opposite actor-reference action sign 0.7813 versus 0.4464; one reference action beneficial 0.6999 versus 0.4821; critic preference among helpful reference actions 0.7034 versus 0.7037; critic ranks reference above actor 0.6295 versus 0.6607; actor boundary rate at disagreement 0.7539 versus 0.1786; twin-gradient agreement 0.7795 versus 0.9107,B,"The comparison is descriptive because the actors have different training pipelines and the mixed actors share one critic. Only 56 mixed failure trials remain, with uneven seed counts. The reference is diagnostic-only, and the result cannot separate the effects of DAgger labels, SAC follow-up, architecture, or deployment selection.",main compressed; full plot in annex,completed full locked-state frozen-policy comparison; no authority-grid or inference-time reference access
C36,"The later first actor-reference disagreement for RL-plus-supervised failures is not a pooled-median artifact. The mixed failure median is later than the pure-RL failure median in every indexed seed. At step 16, 46.4% of mixed failures have not yet exceeded the 0.25 action gap, compared with 2.0% of pure failures.",Is the observed step-15 versus step-4 disagreement delay broad across trajectories and training seeds?,Seed-resolved empirical survival of the first action gap above 0.25 for the same five pure and five RL-plus-supervised frozen actors used by C35. Trajectories with no gap during the 200-step horizon are right-censored.,10,5553,55530,reports/plan2307_mechanistic_20260723/divergence_state_critic_pure_mixed_full/divergence_state_critic_rows.csv; reports/plan2307_mechanistic_20260723/divergence_state_critic_pure_mixed_full/summary.json; reports/plan2307_mechanistic_20260723/divergence_state_critic_pure_mixed_full/first_disagreement_survival_summary.json; reports/plan2307_mechanistic_20260723/divergence_state_critic_pure_mixed_full/first_disagreement_survival.png,scripts/build_plan2307_first_disagreement_survival_20260724.py,"Inherits all ten actor identities, critic identities, locked-dataset hash, selected-index hash, action-gap threshold, reference rule, and horizon from the registered C35 summary","failure medians pure versus mixed 4 versus 15; seedwise medians pure 4,2,4,3,9 and mixed 13,36,32,46,26; mixed median later in 5/5 indexed seeds; failure survival P(T>4) 0.4511 versus 0.8750, P(T>8) 0.2590 versus 0.7500, P(T>16) 0.02036 versus 0.4643, P(T>32) 0.00177 versus 0.3571; near-reference medians 8 versus 11 after right-censoring no-gap trajectories",B,"The failure sets differ between methods, grid states are correlated, and only 56 mixed failures exist with uneven counts across seeds. Indexed seeds are comparison labels rather than repeated paired environments. The result describes frozen-policy timing and does not identify the optimizer update or isolate supervision causally.",annex; main plot remains the more compact C35 synthesis,"completed seed-resolved survival diagnostic; no new rollout, authority-grid access, selection use, or inference-time reference"
C37,"Clean DAgger shifts the pooled failure disagreement median from 4 steps for pure RL to 8 steps, but it does not reproduce the final mixed pipeline's sustained agreement. By step 16, 1.4% of clean-DAgger failures and 2.0% of pure-RL failures have not yet exceeded the 0.25 action gap, compared with 46.4% of final mixed failures.",Does learner-state supervision by itself explain the final mixed actor's delayed trajectory drift?,"Five clean-DAgger width-32 one-block SimbaV2 actors, five pure-RL actors, and five final width-64 two-block RL-plus-supervised actors evaluated as frozen ordinary policies on the same 5,553 locked off-grid states. The automatically selected reference is used only to measure the first action gap and near-reference return.",15,5553,83295,reports/plan2307_mechanistic_20260723/actor_timing_baselines/actor_timing_rows.csv; reports/plan2307_mechanistic_20260723/actor_timing_baselines/summary.json; reports/plan2307_mechanistic_20260723/actor_timing_baselines/actor_timing_baselines.png,scripts/diagnose_plan2307_actor_timing_baselines_20260724.py,"All five clean-DAgger checkpoint and config hashes are recorded in the summary; pure and mixed identities, the locked-dataset hash, selected-index hash, action-gap threshold, reference rule, and horizon are inherited and recorded from C35","ordinary-actor near-reference clean DAgger 0.83634, pure RL 0.91864, final mixed 0.99798; failures 4544, 2259, 56; failure medians 8, 4, 15; clean-DAgger seed medians 8,8,9,9,8; pure medians 4,2,4,3,9; mixed medians 13,36,32,46,26; failure survival P(T>16) 0.01408, 0.02036, 0.46429; no-gap rates 0.02201, 0.00400, 0.03602",B,"This comparison cannot isolate supervision. Clean DAgger uses one SimbaV2 block with width 32 and 100,000 labels, while the final mixed actors use two blocks with width 64, 690,000 labels, reset support, learner-state stages, and a different selection pipeline. Failure sets differ, grid states are correlated, and only 56 mixed failures exist.",main compressed interpretation; full plot in annex,"completed five-seed frozen ordinary-actor timing control; no authority-grid access, selection use, critic deployment, or inference-time reference"
C38,"The 100k SimbaV2 plus FastSACN8 and critic-UTD2 combination improves locked off-grid near-reference reliability after reflection and Q-search from 26235/27765, 94.489%, to 26629/27765, 95.909%, and strict wins from 17.792% to 21.930%, but loses 25 task-success trials. Its ordinary actor is less reliable, 89.937% versus 91.864%, while post-training saturation is higher and action sensitivity is lower in all five paired seeds.","Does adding the most promising FastSACN8 target and critic dose to the strongest pure-RL architecture improve the actor, the critic-guided deployment, or both?","Five P0 one-step SimbaV2 actors and five P7 FastSACN8 lambda-0.5 critic-UTD2 actors on the same 5,553-state locked midpoint-plus-continuous set. Both use the same frozen reflection and symmetric unanimous 41-action Q-search deployment rule.",10,5553,55530,reports/plan2307_pure_target_architecture_20260723/terminal_offgrid_20260725/p0.json; reports/plan2307_pure_target_architecture_20260723/terminal_offgrid_20260725/p7.json; reports/plan2307_pure_target_architecture_20260723/terminal_offgrid_20260725/terminal_fastsacn_gate_summary.json; reports/plan2307_mechanistic_20260723/completed_target_actor_geometry/summary.json; reports/plan2307_mechanistic_20260723/completed_target_actor_geometry/seed_actor_geometry.csv,scripts/evaluate_pure_rl_offgrid_qsearch.py; scripts/summarize_terminal_fastsacn_gate_20260725.py; scripts/diagnose_plan2307_completed_target_actor_geometry_20260724.py,All ten final checkpoint paths are recorded in the evaluation JSON files; the common locked-state SHA256 is 6ecb65c0721b5a3671dfe8cd6241158ce9aaed2b5a59b2fcecabdba0efe50e8f,selected deployment P0 versus P7 near 26235/27765 versus 26629/27765; task 25832/27765 versus 25807/27765; strict 4940/27765 versus 6089/27765; ordinary actor near 25506/27765 versus 24971/27765; Q-search gain after reflection 1.080 versus 3.584 percentage points; median saturation 0.591 versus 0.703; median tanh sensitivity 0.120 versus 0.089,A,"P7 changes both the target family and critic update dose, so the comparison does not isolate FastSACN8 causally. The registered gate required no task-success regression and failed. A later authority evaluation is reported separately as a post-gate characterization. The actor geometry is a post-training association.",report main and annex; poster pure-method note,completed five-seed locked off-grid cross-combination; registered gate failed and is retained
C39,"The post-gate authority characterization of the five-seed P7 SimbaV2 plus FastSACN8 critic-UTD2 deployment reaches 12008/12505 near-reference successes, 96.026%, 11614/12505 task successes, 92.875%, and 2854/12505 strict wins, 22.823%. It improves the previous selected pure route on all three authority measures.",Does the completed five-seed FastSACN8 plus SimbaV2 combination improve the best pure-RL authority result?,"Five independently trained P7 reward-only actors and critics on the fixed 61 by 41 grid, deployed with the same global reflection and symmetric unanimous 41-action Q-search rule as the prior pure winner.",5,2501,12505,reports/plan2507_p7_authority_20260725/grid/pendulum_grid_rollouts.csv; reports/plan2507_p7_authority_20260725/relative/relative_rollouts.csv; reports/plan2507_p7_authority_20260725/relative/relative_summary.json,src/last_nine_rl/pendulum_grid.py; src/last_nine_rl/pendulum_relative.py,Five final checkpoints under runs/plan2307_completion_20260723/pure_target_architecture_matrix/p7_simba_fastsacn8_lambda0p5_utd2_actorutd1_100k/seed{0..4},"near 12008/12505; task 11614/12505; strict 2854/12505; near seed counts 2418,2333,2457,2397,2403",B,"The registered off-grid no-task-regression gate failed before this authority evaluation. The authority result is therefore a disclosed post-gate characterization within a retrospectively selected campaign, not a preregistered held-out confirmation. P7 changes both the target family and critic update dose.",report and poster mainline with post-gate disclosure,completed five-seed authority characterization; promoted under the project's primary near-reference ordering with gate history retained
C43,"From the same post-hoc hard start at theta 174.1 degrees and angular velocity -0.25, the P7 seed-0 raw actor returns -384.3, the mixed seed-0 raw actor returns -280.6, and the selected stored reference returns -280.9.",What does the actor-side sequence gap look like along one concrete closed-loop trajectory?,"One exact-start qualitative rollout of the selected P7 seed-0 raw actor, selected mixed seed-0 raw actor, and dynamic-programming reference before critic search.",2,1,3,reports/plan2507_qualitative_trajectory_20260725.json,scripts/build_plan2507_qualitative_trajectory.py,P7 seed0 and runs/systematic_100k_ablation_no_rl_shift_20260722/seed0,reference -280.9; pure raw actor -384.3; mixed raw actor -280.6,C,The state was selected post hoc because the pure raw actor fails and the mixed raw actor succeeds. It illustrates closed-loop behavior and is not an aggregate estimate or causal comparison.,poster qualitative illustration; report annex,completed post-hoc qualitative illustration with explicit scope
C42,"On the five selected P7 raw actors, a state-matched reference prefix repairs 19.1%, 47.7%, 91.3%, and 99.0% of 1267 original failures at 1, 8, 16, and 32 steps. At 32 steps, shuffled reference actions repair 0.6% and zero torque repairs 0%.",Does the selected pure-RL lineage mainly need one corrected action or a sustained state-matched corrective sequence?,"Frozen-policy matched prefix interventions on all 12505 authority trials of the five selected P7 raw actors, with shuffled-action and zero-torque specificity controls.",5,2501,12505,reports/plan2507_p7_reference_prefix_diagnostic_20260725/summary.json; reports/plan2507_p7_reference_prefix_diagnostic_20260725/aggregate.csv; reports/plan2507_p7_reference_prefix_diagnostic_20260725/specificity_control.csv,scripts/diagnose_reference_prefix_intervention_20260723.py,Five final P7 checkpoints under runs/plan2307_completion_20260723/pure_target_architecture_matrix/p7_simba_fastsacn8_lambda0p5_utd2_actorutd1_100k/seed{0..4},"1267 raw-actor failures; matched repair 19.1%,47.7%,91.3%,99.0% at 1,8,16,32 steps; shuffled 0.6% and zero 0% at 32",B,"The intervention uses the scoring reference after checkpoint selection and only for diagnosis. It demonstrates sequence sufficiency for frozen-policy failures, not the training update that caused them or a deployable correction.",report and poster mechanism section; annex,completed exact-lineage five-seed post-selection diagnostic
C40,"Adding reflection before the selected mixed route's accepted external-critic local Q-search changes off-grid near-reference success from 27751/27765 to 27749/27765, task success from 26216/27765 to 26239/27765, and strict wins from 3157/27765 to 3204/27765. It was not promoted because it loses two successes on the primary metric.",Can the reflection idea from the pure-RL winner improve the selected mixed deployment without retraining or model mixing?,"Matched off-grid rollouts of the same five mixed actors with the same external critic, with and without reflection before local Q-search.",5,5553,27765,reports/plan2507_mixed_reflection_validation_20260725/summary.json,scripts/run_plan2507_mixed_reflection_validation.py,Selected five mixed actors with shared critic runs/simbav2_fastsacn8_lam05_utd2_50k_20260704/seed1,accepted local Q-search near/task/strict 27751/26216/3157; reflection plus local Q-search 27749/26239/3204,B,"This is a matched validation-distribution deployment ablation, not the fixed authority grid. The route was screened after the method family was already selected.",annex and decision log,completed matched five-seed screen; rejected on primary metric
C41,"On the selected five-seed P7 pure-RL lineage, reflection changes near/task/strict counts from 11238/11362/2145 to 11550/11372/2521, and unanimous Q-search then changes them to 12008/11614/2854. The corresponding net gains are +312/+10/+376 and +458/+242/+333.",Which deployment components account for the selected pure-RL authority result?,"Matched authority-grid actor, reflection, and reflection plus unanimous Q-search deployments for the same five trained P7 seeds.",5,2501,12505,reports/plan2507_p7_actor_authority_20260725/relative/relative_summary.json; reports/plan2507_p7_reflection_authority_20260725/relative/relative_summary.json; reports/plan2507_p7_authority_20260725/relative/relative_summary.json,src/last_nine_rl/pendulum_grid.py; src/last_nine_rl/pendulum_relative.py,Five final P7 checkpoints under runs/plan2307_completion_20260723/pure_target_architecture_matrix/p7_simba_fastsacn8_lambda0p5_utd2_actorutd1_100k/seed{0..4},actor 11238/11362/2145; reflection 11550/11372/2521; full Q-search 12008/11614/2854,B,"These matched deployment ablations identify component contribution for frozen policies, not which training update created the critic or actor geometry. They share the post-gate authority evaluation.",report and poster component ablation,completed matched five-seed authority ablation
